[2025-09-18 23:33:46,079] 13 root - INFO - Inititate data ingesstion
[2025-09-18 23:33:55,151] 62 root - INFO - Performed train test split on the dataframe
[2025-09-18 23:33:55,151] 63 root - INFO - Exited split_data_as_train_test method
[2025-09-18 23:33:55,151] 67 root - INFO - Exporting train and test file path
[2025-09-18 23:33:55,259] 74 root - INFO - Exported train and test file path
[2025-09-18 23:33:55,260] 16 root - INFO - initiation completed
[2025-09-18 23:33:55,260] 17 root - INFO - DataIngestionArtifact(trained_file_path='Artifacts\\09_18_2025_23_33_45\\data_ingestion\\Ingested\\train.csv', test_file_path='Artifacts\\09_18_2025_23_33_45\\data_ingestion\\Ingested\\test.csv')
[2025-09-18 23:33:55,264] 21 root - INFO - Initiate data validation
[2025-09-18 23:33:55,323] 31 root - INFO - required number of columns = 2
[2025-09-18 23:33:55,323] 32 root - INFO - Dataframe has 31 columns
[2025-09-18 23:33:55,323] 31 root - INFO - required number of columns = 2
[2025-09-18 23:33:55,323] 32 root - INFO - Dataframe has 31 columns
